"","Initials","B5_O","B5_C","B5_E","B5_A","B5_N"
"1","bret04",6,9,7,4,5
"2","burv05",7,5,6,9,4
"3","canm01",7,6,7,8,4
"4","dumk00",6,7,8,7,3
"5","haum04",9,5,4,7,7
"6","hrdj05",9,6,6,8,8
"7","jocv00",4,10,9,8,6
"8","kala13",9,9,6,6,4
"9","katj00",5,6,4,6,7
"10","kert02",7,5,8,8,7
"11","korn02",7,5,8,4,4
"12","kovj19",8,5,5,9,6
"13","krod04",7,5,4,6,8
"14","kubd05",7,6,8,6,5
"15","lajm01",7,4,5,7,8
"16","lanm14",7,6,6,7,4
"17","majd00",7,5,10,9,5
"18","makj06",2,5,7,7,5
"19","masd04",8,6,6,7,4
"20","matj27",5,5,2,4,10
"21","mikm25",9,10,3,4,8
"22","nikd01",8,10,9,7,4
"23","pesa06",6,4,5,6,6
"24","picm03",5,5,8,8,8
"25","prer00",7,6,5,8,8
"26","prod13",10,6,7,6,6
"27","sanv05",10,7,3,8,10
"28","sesm00",8,7,4,6,7
"29","shei03",6,5,3,6,7
"30","smem09",8,6,7,6,6
"31","staj20",6,6,4,6,9
"32","susj05",7,8,5,3,7
"33","syta00",9,5,4,6,4
"34","tiuo00",9,5,6,5,7
"35","tolo00",10,8,7,6,8
"36","trak01",8,7,9,6,6
"37","vasv08",10,5,5,7,6
"38","vero00",5,5,2,6,6
"39","wald03",7,6,6,9,5
